Zapatos	10,0	15/12/2017	150,50	12345678A	Juan Pérez	Calle del Pez 1	21,0
Caramelos	10,0	12/12/2017	15,0	12346678A	Juan Pérez	Calle del Pez 2	21,0
Tuercas	10,0	15/02/2017	12,5	66345678A	Juan Pérez	Calle del Pez 3	21,0
Borrador	10,0	15/07/2017	45,23	12345999A	Juan Pérez	Calle del Pez 4	21,0
Libros	10,0	15/12/2016	32,8	12344448A	Juan Pérez	Calle del Pez 5	21,0
Jabón	10,0	22/12/2017	94,2	12342328A	Juan Pérez	Calle del Pez 6	21,0
Cáscaras	10,0	06/12/2017	30,5	12334278A	Juan Pérez	Calle del Pez 7	21,0
Cuadros	10,0	15/04/2017	20,25	12324578A	Juan Pérez	Calle del Pez 8	21,0
Aceite	10,0	13/12/2006	55,9	12323478A	Juan Pérez	Calle del Pez 9	21,0
Altavoz	10,0	14/12/2012	60,8	12345678B	Juan Pérez	Calle del Pez 10	21,0
